"User","Comment","Rating","Date"
"syntory","Look at the profiles for the writers that wrote Madame Web. You'll see virtually every movie they've written has a bad rating and bad reviews. Why then does Hollywood continually hire these same writers for these big budget films? I could understand if they wrote movies for Asylum Films because all their movies are terrible.Madame Web is god awful! Very difficult to sit through. None of the main characters are likeable. Even the villain is lame. It seems like the entire movie was written to set up a sequel. But why would people spend money to see the sequel of a movie that is one of the worst movies ever written? I'm shocked at how bad this movie is and if there is a sequel I certainly wont bother watching it.Stop hiring bad writers, Hollywood!","2","15 February 2024"
"MovieWarfare","I would absolutely love to be in these Sony meetings because I am absolutely baffled how things like Madame Web are getting greenlit.Madame Web is one of the worst superhero movies ever made! It has terrible writing, characters, action setpieces and even acting. Dakota Johnson is so dull and boring as the main lead but this is probably down to the terrible script.To be fair, the movie does have an interesting concept with this Final Destination x Terminator thing. However, it is so poorly executed that it makes Morbius look like The Dark Knight.Anyway give me the ""He Was in the Amazon With My Mom When She Was Researching Spiders Right Before She Died"" cut!","1","17 February 2024"
"chenp-54708","Literally one of the worst superhero movies I have ever seen.From the advertisements, I knew this movie wasn't going to be great but still, it surprised me how bad and boring it was. Everything about the direction, writing, characters, technical aspects, and designs are really awful. The writing is poor as there are many concepts, ideas and aspects that are messy and bland. The messy script creates poor dialogue from the cast and the characters are not interesting. The special effects looked even worse than the marketing and all of the performances were pretty bad. I honestly do feel bad for Dakota Johnson cause she is a good actress but she deserves to have better roles then this. It can be said for the same for the rest of the cast members.The uses of product placements are annoying, action moments are dull, and and all in all, it was boring. Superhero movies shouldn't be boring but this really dragged on. It's unfortunate cause female superhero leads are something I love to see more like Wonder Woman and The Old Guard which are pretty fun. But unfortunately, it seemed that it likely isn't going to happen anytime soon.There really isn't anything else to say.Bad.","1","14 February 2024"
"AlsExGal","... when I saw Dakota Johnson was starring in it. Naturally I can't lay the entirety of this hot mess at her feet. But there is some really bad campy acting happening on her part, reminiscent of the Fifty Shades of Grey movies in which she starred. Perhaps it was because the director was more interested in the placement of Pepsi cans than her performance, but I digress.Basically, this movie plays out like the cut scenes from a budget Xbox 360 game. From the ground up this thing just feels designed to fail. It feels almost Producersesque in its approach in just how every aspect is seemingly intentionally mangled, yet no one seems to care. How have we come so full circle to go through the glory of Infinity War/Logan/The Dark Knight to arrive all the way back to Batman and Robin and Catwoman levels of superhero flicks? (Bam!, Pow!, Gosh yes Batman!)How did this movie make it so far that it has an actual release, and no one stopped it? How did this idea get green lit? Why did Sony give 80 million and turn over their valuable IP to the people that wrote Morbius, Gods of Egypt, Dracula Untold and The Last Witch Hunter? How did this get past the writing process and again have that script greenlit? How could no one on the set at any point stop things? How did no one in the editing room point out how bad it looked and how much of a mess it was?But to the suits it's not about art and story. Instead it's about business, and people are just a commodity. It's cheaper to recycle known quantities, and practice nepotism and involve maybe less than talented friends, people you've worked with before, than go out and find artists with worthy stories. They don't care about art, they don't care about stories, they care about making this work for them financially, regardless of loss of reputation with audiences as a whole.Youtuber Chris Stuckmann did a deep dive on the topic of big studios being generally run by folks who came up through management rather than the creative rungs such as writing and directing when he discussed this film. His take is worth watching. For some reason, Chris doesn't do critical movie reviews since he has become a filmmaker, but I can tell by his tone that, like me, he was completely displeased watching this one. I'd avoid it.","2","17 February 2024"
"eoinageary","This is, well I guess this is a movie in the Sony universe that I'm SHOCKED is profitable.The story is all over the place, it's basically about Madame Web who is a paramedic and develops powers and can see into the future, with a current threat she tries to change the future, teaming up with 3 powerful characters who are yet to develop into their full potential so she must shield them and change the future to protect them.Trying not to give the little story that gets told away in the opening there but i have to be vague.What I liked, one or two good scenes, I didn't mind the end, I really liked a lot of the camera work some cool looking shots and a decent Score.But the movie is BAD, it makes Morbius look like The Batman 2022. The acting is lacking, the actors look as bored as you will feel. Script is bad, just some beyond silly lines, the story chops and changes so much your neck will hurt you, some bad CGI, and just boring action.And before people harp on about ""you don't like it because it's women leads"" no, it's just a crap film, I enjoyed the marvels, Black Widow was decent, so no, the movie regardless of its leads is just poor.Extremely disappointing, 3/10.","3","14 February 2024"
"tbunker-88294","I can honestly say that once again (not that anyone is surprised) that Sony has bombed again with its superhero content. Underwhelming action, bad characters, weird dialogue, generic villain. Its just plain badI feel bad for the cast of this movie, you have EXCELLENT talent and its just wasted in this cash grab excuse of a movieSony has proved once again it can't be trusted with superhero content and has lost what little credibility it had. If the company had any integrity or wits left they should sell their share of ownership back to Marvel and let them assume FULL creative control.I'm not optimistic for Kraven The Hunter after seeing this gross disappointment.","1","14 February 2024"
"hotrobinproductions","Horrible from beginning to end, the opening scene just reeks of awful predictability from story & plot to the core. You know exactly what will happen before it even happens, the script sucks & the dialogue is even worse. There is quite noticeable audio dub edited after the fact too. This budget is 80 million, not that budget matters, because no amount of money could have saved this train wreck, but I mention this because you can still make a good film on lower budgets, Shazam, the first one, had the same budget & delt with a lot of side characters too, it's miles better, Godzilla minus one had a extremely low budget too. But this 80 million dollar film not just effects but production, feels obviously cheap, it almost feels like watching a very long pilot episode to a CW tv show.You thought Morbius was bad, that film was bad because it did the bare minimum, this film doesn't even do the bare minimum, it goes beyond comprehension below that, it just enters a point of no originality or ambition towards creating anything. There isn't even a single superhero moment, even horrible films like catwoman or Morbius has superhero moments & action, this thing doesn't, you get instead visions of the future to potentially set up sequels.This movie also has a serious problem of product placement, it's a long commercial, to be exact a long Pepsi commercial, I feel like Pepsi stopped the halftime show so they could invest in the product placement in this film. This movie was more important to them than the superbowl LOL it's just so over the top & obviously placed way too much in this film. Calvin Klein, Chase bank, the list goes on. This movie should be called superhero product placement the movie.It's barely even close to a 1/10 the cool moments are seeing what we already saw in the trailer when she's seeing the future & you think it's happening now but then it goes back to the moment she realizes it's a vision, granted it's cool the first couple times but it gets old REAL quick. & it ends up getting annoying because it's abused way too much.Thats about it, there isn't any redeeming things in this film, the acting isn't even good. I would say the 3 side character spider women that Dakota finds when they are together there was a potential spark. I saw the talent & potential, but they are failed big time by such a horrid script that the spark never even sparks, it's just like showing you the matches & gasoline & not setting the fire.Madame M0RBIUS / 10.","1","16 February 2024"
"olcare","It's the worst movie and superhero adaptation I've watched in recent years. Completely atrocious effects, atrocious screenplay, and atrocious acting. Also, a big insult to all comic book readers and those who know the original story.Let me describe the movie simply. First of all, I am filled with hatred; I really want to curse the entire creative team for this unacceptable film.All the performances are bad, everyone. There's not a single good actor trying; everyone just took the role for money. It's a terrible disgrace, a total eclipse of reason.The screenplay is the worst superhero screenplay I've ever seen. It barely resembles the original story, and if there aren't scenes like the other Spider-Girls in the trailer, why include them? There's no such obligation; instead, write a decent screenplay. All action scenes are full of logical errors; they've written it without thinking, it's complete garbage.Apart from these, the direction, sorry to say, is garbage too. Most scenes are shot as if they were taken straight from a phone camera; action scenes are not shown, they're hidden due to the atrociousness of the effects. It's shameful.After these general points, Sony urgently needs to cancel this universe; the original stories are garbage, there's no logic, no connection anywhere. They're just being shot randomly. I don't like to curse, but I hope this film sinks at the box office.The last scene with Madame Web gaining her powers, those web effects, clinging to souls, it's unbelievable how you approved this film, may God punish you.I don't know which one to talk about; all the atrocities are collected in this film. Whether it's the woman going to Peru and back in 30 seconds, Spider-Man dodging with fireworks, dancing at the boys' table when my daughters are left alone, not telling the story of the Spider-Human community, or the woman talking normally while giving birth at the end, everything is a disgrace. I hope this universe sinks, and you all get fired. No one involved in the management of this film deserves their job respectfully; they should quit immediately.Note: Dakota Johnson made a statement saying she didn't watch the movie. Why are you serving a completely garbage film if you're not going to watch it? Life shouldn't be all about money for you; we, in our poverty, are trying to watch it, and this is no different from cursing all the audience's families. Shame on you.Note 2: Just now, I looked at the budget of the movie, and my anger grew even more, 80 million dollars EIGHTY MILLION. How can I not believe this money, I really can't believe it, it's nothing but disrespect to yourself, disrespect to the audience, nothing but an insult.","1","16 February 2024"
"sinscopefilms","First Impression:The opening of the Madame Web was immersed in a mystique and ambition, enhanced by great musical score; yet, as the movie progresses, it becomes a mixed bag and a rollercoaster of emotions.The Positive:Musical Score and Sound Design: The standout feature of ""Madame Web"" is its musical score. The soundtrack not only enhances the emotional depth of the film but also succeeds in creating in some moments genuine goosebumps. The sound design really enhances this impact by carefully using sound pans, bass, and reverse effects. It creates a sense of tension and immersion which is one of the film's strongest features.The Mixed:Visual Effects and Costume Design: Some of the visual effects in ""Madame Web"" were visually appealing. The costume design, like Casey's red jacket and the three spider girl villain outfits standing out as particularly stunning contributions to the film's aesthetic, but it was not often shown in the film since the films direction and focus was different. I was disappointed.Acting and Direction: Although I thought Casey's character development - her ability to see the world from a different perspective - was great, I didn't like how it was visually presented. The way it was edited was poorly done. The editor could use 2 distinct color grading features where one sees the future and two, she sees the present moment.However, The performances throughout the film feel lackluster, with the actors appearing confused and disengaged. This, combined with direction that fails to maintain interest or coherence in many scenes, significantly undermines the film's potential.Negatives:Cinematography: Cinematography is bad since some pictures don't show a clear image. The camera moves so fast that I cannot comprehend the picture. I kind of recognized that it tries to initiate the rapidness of the events from the spider's eye point of view but it was a tasteless decision. The Cinematography is not something like wow. The reason why Cinematography was lacking is because it was heavily based on medium closeups and dutch tilts which on one hand was a unique choice but on the other hand very hard to watch. I found the 180 degree round camera rotations super cool, but again, I expected varied distance shots, not just medium shots. The train scene Cinematography was the best in the film.Editing and Pace: The editing is arguably the weakest element of ""Madame Web,"" with its rapid cuts and disjointed flow detracting significantly from the storytelling. This lack of coherence makes it challenging for the audience to fully engage with the narrative.Plot and Overall Execution: The storyline of ""Madame Web"" is cluttered and clichéd, suffering from a lack of originality and clear direction. The film's ambition is evident, but the execution falls short of creating a compelling narrative.The Conclusion:""Madame Web"" presents a paradoxical experience, with exceptional music and sound design standing that sharply contrasts with its various flaws in editing, cinematography, and direction.Although there are some visually and emotionally stunning moments, they are frequently overshadowed by a lack of coherence and clarity.Also, I think this film would be reasonable and great to be incorporated in a TV series which would have allowed for a more in-depth exploration of characters and plot.Nevertheless, Madame Web is a bit of a mixed bag, with moments of potential that ultimately leave the viewer something different visually.Rating: 3/10.","3","15 February 2024"
"Skruffbagg","Cannon, is that you in disguise?I firmly believe Madame Web will go down in history as not only the worst superhero movie, but also one of the worst movies ever made. It's that bad. It's absolutely fascinating to behold.Now, I'll be honest with you here. I only went to see this because I had heard it was an unmitigated disaster that had to be seen to be believed, and it truly does not disappoint - or massively does, depending on your viewpoint.It takes a special kind of director to get such cringe-inducing performances out of a fairly talented cast (Dakota Johnson and Tahar Rahim are both quality actors with the right script and direction), but SJ Clarkson somehow manages to wrangle the absolute worst imaginable from every single person in the film. I'll be very surprised if she ever does another feature after this.Nothing in this film works; the plot is moronic, the script seems like it was written by a teenager, the cinematography is horrendous, the aformentioned embarrassing performances, the audio editing is baffling (so much dubbing, brain-melting music choices). I'm amazed this didn't get shelved the minute the final cut was done.To me, I rate this as ""so bad it's good"" as I wasn't bored watching it, but most people I assume will say it's just plain bad... and it is, but very entertainingly so.If you love watching a 2hr car crash then I highly recommend this. The awfulness is mind-boggling in it's complexity, but in the best possible way. Film scholars and historians will be analysing this movie for years to come, and I hope it is talked about in the same vein as The Room in the future.An absolutely epic misfire on all levels.","1","20 February 2024"
